Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
595,1372.400,23.887,10.931,14.356,21.751,26.239,30.975,35.957,94.685,582.872,0.042
600,457.000,68.317,11.318,14.902,23.859,30.021,235.674,344.500,736.655,1371.771,0.015
605,1364.800,23.447,10.992,14.360,21.673,26.054,30.242,33.516,45.321,534.667,0.043
610,1249.600,25.615,10.589,14.661,22.822,27.747,36.747,50.644,138.949,352.739,0.039
615,1482.400,21.595,10.405,14.326,21.749,26.243,30.571,33.946,48.444,93.457,0.046
620,1504.600,21.253,11.101,14.268,21.695,26.149,30.132,33.360,43.018,78.835,0.047
625,1099.400,29.110,10.862,14.798,23.544,29.494,41.655,67.636,198.773,477.895,0.034
630,896.600,35.688,10.429,14.216,23.137,34.671,75.582,126.472,203.587,303.662,0.028
635,1505.400,21.248,10.683,14.277,21.050,26.158,30.345,33.605,44.919,105.221,0.047
640,1147.800,27.879,11.082,14.994,23.622,29.393,40.150,58.086,170.149,272.401,0.036
645,1509.200,21.204,10.622,14.244,21.226,26.023,30.192,32.998,45.896,81.892,0.047
650,1485.200,21.566,10.437,14.410,21.645,26.021,30.258,33.899,53.280,106.068,0.046
655,1527.600,20.925,11.077,14.193,21.272,25.865,29.714,32.845,41.708,76.746,0.048
660,1519.400,21.067,10.670,14.325,21.073,25.896,29.581,32.676,45.886,95.835,0.047
665,1267.600,25.239,11.149,14.278,21.890,26.323,30.405,33.318,44.424,826.515,0.040
670,1497.600,21.367,10.693,14.222,21.435,26.050,30.132,33.924,48.664,103.456,0.047
675,1508.800,21.214,10.825,14.320,21.470,26.205,29.960,33.029,44.672,91.383,0.047
680,1493.800,21.405,10.394,14.265,21.493,26.151,30.272,33.990,47.320,104.891,0.047
685,1494.600,21.422,10.867,14.381,21.351,26.271,30.228,33.314,46.297,107.525,0.047
690,1465.200,21.844,10.658,14.673,22.073,26.424,30.471,34.340,47.872,122.721,0.046
695,1453.600,22.007,10.489,14.179,21.665,26.361,30.284,33.652,47.676,220.865,0.045
700,1514.400,21.131,11.129,14.271,21.305,26.260,30.097,33.123,41.533,70.412,0.047
705,1496.600,21.381,11.044,14.221,21.271,26.208,30.379,33.644,49.699,98.821,0.047
710,1514.600,21.134,11.095,14.263,21.465,26.243,30.188,33.310,41.349,59.497,0.047
715,1502.000,21.290,10.805,14.211,21.125,26.222,30.544,34.221,43.963,117.319,0.047
720,1482.400,21.606,11.075,14.599,21.858,26.341,30.707,33.811,45.720,88.602,0.046
725,1493.200,21.418,10.791,14.304,21.267,26.324,30.638,34.072,46.451,118.579,0.047
730,1489.200,21.481,11.144,14.325,21.832,26.478,30.385,33.397,45.738,90.485,0.047
735,1495.400,21.393,10.426,14.122,21.459,26.199,30.400,34.481,45.537,108.103,0.047
740,1502.000,21.305,11.030,14.227,21.390,26.164,30.381,34.137,46.740,80.198,0.047
745,1503.200,21.291,10.764,14.177,21.583,26.260,30.271,33.447,43.385,112.295,0.047
750,1502.600,21.308,10.699,14.138,21.269,26.371,30.888,34.260,46.584,79.627,0.047
755,1487.000,21.503,10.582,14.311,21.706,26.378,30.528,33.813,46.543,104.196,0.047
760,1482.200,21.586,11.124,14.347,21.701,26.570,30.752,34.197,45.608,86.574,0.046
765,1504.400,21.299,10.895,14.156,21.577,26.424,30.508,33.271,43.999,97.830,0.047
770,1480.200,21.608,10.515,14.386,21.914,26.529,30.761,33.925,46.572,107.094,0.046
775,1504.800,21.261,10.571,14.311,21.504,26.340,30.281,33.318,42.491,74.886,0.047
780,1433.200,22.306,10.832,14.761,22.207,27.543,32.100,36.082,48.981,94.610,0.045
785,723.000,45.688,10.411,14.508,23.329,33.100,77.396,240.526,350.094,879.765,0.022
790,432.000,71.809,10.303,11.936,38.807,90.674,207.673,252.634,366.517,480.649,0.014
795,1483.800,21.551,10.472,14.175,21.159,26.395,31.320,35.891,49.866,95.937,0.046
800,1461.800,21.881,11.053,14.337,21.982,26.964,31.539,35.851,48.125,82.591,0.046
805,1181.600,27.088,10.480,14.488,22.477,27.927,41.128,63.188,156.848,339.966,0.037
810,1483.200,21.562,10.951,14.339,21.647,26.512,30.676,34.148,47.580,98.055,0.046
815,1509.600,21.192,10.672,14.318,21.327,26.191,30.080,32.873,42.782,89.802,0.047
820,1495.800,21.403,10.839,14.249,21.595,26.327,30.408,33.401,45.449,91.127,0.047
825,1512.800,21.148,10.859,14.206,21.284,26.209,30.417,33.506,43.686,78.150,0.047
830,1479.000,21.624,10.591,14.221,21.748,26.488,30.803,34.666,50.620,97.950,0.046
835,1501.200,21.328,10.569,14.334,21.641,26.426,30.462,33.602,41.802,75.677,0.047
840,1485.200,21.560,10.721,14.434,21.806,26.477,30.740,33.997,45.932,107.686,0.046
845,1504.200,21.252,11.090,14.244,21.378,26.190,30.198,33.367,44.794,93.806,0.047
850,1486.400,21.530,10.732,14.376,21.561,26.488,30.693,34.049,47.454,81.769,0.046
855,1497.800,21.359,11.033,14.410,21.636,26.367,30.322,33.165,44.564,80.500,0.047
860,1490.400,21.486,10.535,14.339,21.614,26.399,30.564,33.898,45.546,105.393,0.047
865,1496.000,21.381,10.897,14.349,21.534,26.461,30.295,33.355,45.824,81.831,0.047
870,1496.800,21.363,10.378,14.256,21.531,26.303,30.221,33.227,46.014,106.013,0.047
875,1486.200,21.541,10.858,14.319,21.600,26.503,30.892,34.594,45.284,86.155,0.046
880,1490.600,21.466,10.599,14.424,21.595,26.439,30.625,33.897,44.068,106.896,0.047
885,1489.400,21.483,11.081,14.296,21.799,26.351,30.700,34.154,44.958,85.309,0.047
890,1483.800,21.566,10.588,14.357,21.812,26.556,30.755,34.083,44.892,89.268,0.046
895,1478.400,21.557,10.628,14.228,21.571,26.481,30.950,34.418,48.175,90.047,0.046
