path,region,scalefactor,terminals,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,avg,p0,p25,p50,p75,p90,p95,p99,p100,time,warmup,throughput,throughput.NewOrder,throughput.Payment,throughput.OrderStatus,throughput.Delivery,throughput.StockLevel
tpcc/yugabyte/tpcc-100-yugabyte-terminals512/3-ap-northeast-1,3-ap-northeast-1,100,512,25519.318157894737,644.288,666.9895,2430.924,64690.2365,64888.2338,65720.51645,68539.80263,68696.276,44155.1375,44044.419,44099.77825,44155.1375,44210.49675,44243.7123,44254.78415,44263.64163,44265.856,52757.17266666667,52714.745,52742.858,52770.971,52778.3865,52782.8358,52784.318900000006,52785.50538,52785.802,40035.566333333336,52.443,11529.62725,54779.0725,65030.88325,65037.138999999996,65039.325,65041.0738,65041.511,15591.673083333335,14.308,15.5625,2928.6240000000003,13605.68975,68091.44330000001,74109.55205,74118.73441,74121.03,26944.74357377049,14.308,666.875,5463.145,64670.474,65041.511,68273.375,74108.5086,74121.03,60,30,1.02,0.6333333333333333,0.2,0.03333333333333333,0.1,0.05
tpcc/yugabyte/tpcc-10-yugabyte-terminals1/1-us-east-1,1-us-east-1,10,1,82.39637272727275,76.766,81.61475,82.388,83.13525,83.88600000000001,84.30475,84.81682,86.127,10.790411764705883,5.469,9.433,10.825,12.867,13.9318,14.1648,14.25376,14.276,5.946052631578947,5.458,5.775499999999999,5.919,6.105,6.3386,6.4439,6.46478,6.47,63.43495999999999,61.753,62.61,63.604,63.846,64.8346,65.0482,65.16004,65.179,6.912372727272726,5.819,6.427,6.8335,7.192,7.8701,8.24915,8.650599999999999,8.788,84.76963478260869,5.458,6.9405,79.899,82.8135,213.1806,336.37389999999994,544.0772999999994,2341.075,60,30,9.62,4.266666666666667,4.266666666666667,0.3,0.45,0.3333333333333333
tpcc/yugabyte/tpcc-10-yugabyte-terminals1/2-eu-west-1,2-eu-west-1,10,1,13.228224522292996,8.77,12.509,13.252500000000001,13.87025,14.570300000000001,15.00565,15.64319,16.197,9.43219298245614,4.414,6.33,9.091,11.888,14.5594,15.240799999999998,16.565279999999998,16.838,5.368883333333333,5.026,5.2330000000000005,5.3575,5.5065,5.6246,5.71425,5.8555600000000005,5.865,7.970249999999999,7.434,7.841,7.973,8.08275,8.221499999999999,8.255,8.4189,8.453,7.399262569832403,6.081,6.867,7.352,7.762,8.3066,8.696399999999999,9.350079999999995,10.029,10.149329858525688,4.414,7.3245000000000005,8.901,13.214500000000001,13.9762,14.590399999999999,15.554019999999998,16.838,60,30,24.77,11.416666666666666,10.383333333333333,0.95,1.0166666666666666,1.0
tpcc/yugabyte/tpcc-10-yugabyte-terminals1/3-ap-northeast-1,3-ap-northeast-1,10,1,24063.414333333338,882.123,1158.8065000000001,1435.49,35654.060000000005,56185.202000000005,63028.916,68503.8872,69872.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24063.414333333338,882.123,1158.8065000000001,1435.49,35654.060000000005,56185.202000000005,63028.916,68503.8872,69872.63,60,30,0.05,0.05,0.0,0.0,0.0,0.0
tpcc/yugabyte/tpcc-10-yugabyte-terminals256/1-us-east-1,1-us-east-1,10,256,83.70391103095882,77.26,82.693,83.685,84.72025000000001,85.715,86.2644,87.5304,89.593,53.71990713101161,4.575,13.378,26.959,47.569500000000005,89.76540000000014,256.36299999999966,464.57884000000007,489.916,56.95976823529412,6.014,7.11,7.7315000000000005,30.6195,144.6873,229.26084999999958,830.2704399999989,1304.535,703.6129608247423,8.144,30.982,103.699,442.605,2011.0962000000009,4073.732399999999,6819.273159999993,21696.221,7.92140472440945,5.964,7.443,7.872,8.366,8.844199999999999,9.1366,9.803619999999999,10.69,67.98537669529837,4.575,79.21125,83.0755,84.37525,85.5222,86.1623,87.70859,91.334,60,30,175.77,129.33333333333334,12.216666666666667,10.983333333333333,8.083333333333334,15.15
tpcc/yugabyte/tpcc-10-yugabyte-terminals256/2-eu-west-1,2-eu-west-1,10,256,15.901305657093125,8.965,14.60925,15.788,17.03775,18.367,19.08655,20.554,22.282,18.064307142857142,4.386,8.30075,14.635,23.123,31.2293,39.5457,91.61994000000016,124.381,8.033879963898917,5.548,7.2875,8.0435,8.7015,9.3583,9.835349999999998,10.65593,12.062,68.70119313304721,8.407,29.84575,55.0595,81.971,104.0017,206.79274999999936,413.37516999999997,442.005,8.411345756191393,5.9,7.5504999999999995,8.255,9.160499999999999,10.047400000000001,10.5442,11.49794,12.708,13.846323947542428,4.386,9.301,14.752500000000001,16.587,18.3383,19.616299999999995,29.57253,39.339,60,30,333.15,203.46666666666667,74.03333333333333,18.133333333333333,16.95,20.566666666666666
tpcc/yugabyte/tpcc-10-yugabyte-terminals256/3-ap-northeast-1,3-ap-northeast-1,10,256,1130.53384375,238.634,665.58725,667.136,1111.504,1489.1097,4088.906899999999,4912.90823,4929.514,23060.235,23060.235,23060.235,23060.235,23060.235,23060.235,23060.235,23060.235,23060.235,52663.605,52663.605,52663.605,52663.605,52663.605,52663.605,52663.605,52663.605,52663.605,,,,,,,,,,9970.2195,6208.169,8089.1942500000005,9970.2195,11851.24475,12979.859900000001,13356.06495,13657.02899,13732.27,5917.6652926829265,238.634,666.368,967.533,4875.947,20729.192,23474.17,42859.94460000004,52663.605,60,30,0.68,0.6166666666666667,0.03333333333333333,0.016666666666666666,0.0,0.016666666666666666
tpcc/yugabyte/tpcc-10-yugabyte-terminals64/1-us-east-1,1-us-east-1,10,64,82.38390298865271,76.739,81.588,82.361,83.205,83.8854,84.3062,85.08,86.276,22.313225274725276,4.346,11.217500000000001,19.6975,29.532,40.845,48.379999999999995,68.40474999999992,81.381,6.314882703777336,5.062,5.999499999999999,6.288,6.59,6.944599999999999,7.1535,7.5886200000000015,7.891,136.62931775700935,7.432,25.866999999999997,58.316,125.1845,333.069,610.0519999999999,1315.2628799999995,1824.191,7.13610709318498,5.465,6.699,7.103,7.529,7.9378,8.242399999999998,8.839,9.265,84.57122921225381,4.346,8.59575,81.737,83.142,85.18110000000001,318.93975,503.20331999999996,2142.2,60,30,184.23,115.25,39.4,9.8,9.316666666666666,10.466666666666667
tpcc/yugabyte/tpcc-10-yugabyte-terminals64/2-eu-west-1,2-eu-west-1,10,64,15.226856171855333,8.751,14.081,15.152,16.301,17.425,18.067599999999995,19.22336,20.774,15.129457027300303,4.057,8.139,13.396,19.273,26.3968,30.827399999999987,48.61292000000002,73.942,7.4503112068965525,5.778,6.902749999999999,7.4455,7.91025,8.3682,8.654449999999999,9.154910000000005,10.014,60.14424307417337,8.371,16.9075,41.474,72.434,100.19440000000002,170.2159,489.01543999999876,651.097,8.10852990129669,5.772,7.304,7.974,8.826,9.565600000000002,10.073199999999998,10.965060000000001,12.228,12.96991711566544,4.057,8.598500000000001,13.999,15.7635,17.308400000000002,18.3291,25.403439999999943,38.96,60,30,359.38,208.46666666666667,92.45,18.466666666666665,19.116666666666667,20.883333333333333
tpcc/yugabyte/tpcc-10-yugabyte-terminals64/3-ap-northeast-1,3-ap-northeast-1,10,64,14477.999954545458,240.164,667.547,761.7165,20085.84975,63092.899200000014,64936.34515,65231.59828,65245.661,35285.70725,29.985,21879.23425,32511.620000000003,49661.5365,65827.8294,65828.57070000001,65829.16374,65829.312,52941.226500000004,52936.836,52939.03125,52941.226500000004,52943.42175,52944.7389,52945.17795,52945.52919,52945.617,75826.571,75826.571,75826.571,75826.571,75826.571,75826.571,75826.571,75826.571,75826.571,4923.129,15.621,645.8900000000001,1276.159,7376.883,11037.3174,12257.462199999998,13233.57804,13477.607,19237.863224137935,15.621,668.2027499999999,2714.493,30021.5305,64862.7447,65332.89095,70128.13337,75826.571,60,30,0.97,0.7333333333333333,0.05,0.13333333333333333,0.016666666666666666,0.03333333333333333
