Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,ReadModifyWrite,1683657555.952556,5080928,15,1
1,ReadModifyWrite,1683657555.953039,5079135,2,1
1,ReadModifyWrite,1683657555.955594,4066981,30,1
1,ReadModifyWrite,1683657555.956079,11115,20,1
1,ReadModifyWrite,1683657555.956117,9543,25,1
1,ReadModifyWrite,1683657555.956585,5080048,4,1
1,ReadModifyWrite,1683657555.956886,5080145,14,1
1,ReadModifyWrite,1683657555.956964,22825,21,1
1,ReadModifyWrite,1683657555.957252,5063310,31,1
1,ReadModifyWrite,1683657555.958260,5073319,9,1
1,ReadModifyWrite,1683657555.961415,5240,24,1
1,ReadModifyWrite,1683657555.965673,2039278,25,1
1,ReadModifyWrite,1683657555.966088,5070954,0,1
1,ReadModifyWrite,1683657555.966664,6061402,24,1
1,ReadModifyWrite,1683657555.967205,5067701,20,1
1,ReadModifyWrite,1683657555.974661,2043974,19,1
1,ReadModifyWrite,1683657555.975304,5178,10,1
1,ReadModifyWrite,1683657555.979802,6056100,21,1
1,ReadModifyWrite,1683657555.980493,5189,10,1
1,ReadModifyWrite,1683657555.985723,9814,10,1
1,ReadModifyWrite,1683657555.995572,2018162,10,1
1,ReadModifyWrite,1683657556.952199,1039539,11,1
1,ReadModifyWrite,1683657556.954758,4079330,3,1
1,ReadModifyWrite,1683657556.955076,5082517,27,1
1,ReadModifyWrite,1683657556.957406,4066184,18,1
1,ReadModifyWrite,1683657556.959572,4074008,28,1
1,ReadModifyWrite,1683657557.966819,1032325,8,1
1,ReadModifyWrite,1683657557.991755,1004061,11,1
1,ReadModifyWrite,1683657557.996149,1000469,17,1
1,ReadModifyWrite,1683657557.996880,4038809,26,1
1,ReadModifyWrite,1683657557.996923,3038374,5,1
1,ReadModifyWrite,1683657558.000524,1010812,7,1
1,ReadModifyWrite,1683657558.004963,3029182,25,1
1,ReadModifyWrite,1683657558.006375,4034996,12,1
1,ReadModifyWrite,1683657558.011118,4028771,22,1
1,ReadModifyWrite,1683657558.013749,5030898,10,1
1,ReadModifyWrite,1683657558.014337,989732,29,1
1,ReadModifyWrite,1683657558.018647,4839,19,1
1,ReadModifyWrite,1683657558.018841,3016783,1,1
1,ReadModifyWrite,1683657558.023497,4021446,19,1
1,ReadModifyWrite,1683657558.995837,2042503,11,1
1,ReadModifyWrite,1683657558.996671,5851,17,1
1,ReadModifyWrite,1683657558.997444,2040954,16,1
1,ReadModifyWrite,1683657558.999160,2031773,8,1
1,ReadModifyWrite,1683657559.002539,3036589,17,1
1,ReadModifyWrite,1683657559.004086,3049613,29,1
1,ReadModifyWrite,1683657559.011351,4905,7,1
1,ReadModifyWrite,1683657559.011540,3034769,13,1
1,ReadModifyWrite,1683657559.014008,3031595,6,1
1,ReadModifyWrite,1683657559.016267,3022428,7,1
1,ReadModifyWrite,1683657560.022593,2021226,30,1
1,ReadModifyWrite,1683657561.020718,1022477,31,1
1,ReadModifyWrite,1683657561.023673,2024532,18,1
1,ReadModifyWrite,1683657561.030947,1012498,8,1
1,ReadModifyWrite,1683657561.031590,1017799,9,1
1,ReadModifyWrite,1683657561.032185,1020843,2,1
1,ReadModifyWrite,1683657561.033495,2013523,15,1
