Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
108,1303,1303.000,4298,15611,24253,24623,29673,35810,41093,106617,139128
109,1368,1368.000,5630,18467,23946,23304,28841,34515,38593,46949,57509
110,1357,1357.000,5260,17941,23932,23759,30083,36130,41414,51273,72174
111,1328,1328.000,5651,18481,24451,24035,30126,36630,41086,48385,68611
112,1331,1331.000,5692,18518,24545,24157,30223,36983,41380,51014,69461
113,1319,1319.000,5571,17918,24326,24171,30219,37260,43011,53787,66876
114,1301,1301.000,5499,18719,24810,25110,30725,38205,44581,72409,96190
115,1321,1321.000,4342,17240,23982,23727,30117,35930,41212,52890,82753
116,1348,1348.000,5318,18210,24025,23705,29301,35142,39513,51691,65345
117,1300,1300.000,4901,18637,24441,24597,30762,37920,43298,51759,90958
118,1267,1267.000,4715,16729,23666,25260,30513,38784,51830,85007,113575
119,1459,1459.000,5111,14028,20811,21329,26847,34099,38867,49981,101193
